 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 20   # Spanwise =100     First strip =  1
     Surface area =    0.050178       Ave. chord =    0.131700
     CLsurf  =   0.15714     Clsurf  =  -0.06834
     CYsurf  =   0.00034     Cmsurf  =  -0.13141
     CDsurf  =   0.00564     Cnsurf  =  -0.00010
     CDisurf =   0.00277     CDvsurf =   0.00288

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.31429     CDsurf  =   0.01129
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   123  -0.0456   0.1651   0.0006   0.0509   0.0329   0.3304   0.3083   0.0058   0.0061  -0.0534   0.1241    0.423
   124  -0.0496   0.1642   0.0007   0.0508   0.0330   0.3317   0.3095   0.0125   0.0061  -0.0533   0.1243    0.422
   125  -0.0537   0.1632   0.0007   0.0507   0.0330   0.3333   0.3110   0.0087   0.0061  -0.0531   0.1244    0.421
   126  -0.0579   0.1623   0.0007   0.0507   0.0330   0.3348   0.3124   0.0105   0.0061  -0.0529   0.1246    0.419
   127  -0.0623   0.1612   0.0007   0.0506   0.0330   0.3362   0.3137   0.0138   0.0060  -0.0527   0.1248    0.418
   128  -0.0668   0.1602   0.0007   0.0505   0.0330   0.3380   0.3154   0.0091   0.0060  -0.0526   0.1250    0.417
   129  -0.0714   0.1591   0.0007   0.0504   0.0330   0.3395   0.3167   0.0115   0.0060  -0.0525   0.1252    0.416
   130  -0.0761   0.1581   0.0008   0.0503   0.0330   0.3410   0.3182   0.0122   0.0060  -0.0523   0.1254    0.414
   131  -0.0810   0.1569   0.0008   0.0502   0.0329   0.3427   0.3198   0.0081   0.0060  -0.0522   0.1257    0.413
   132  -0.0859   0.1558   0.0008   0.0500   0.0329   0.3443   0.3212   0.0089   0.0060  -0.0521   0.1259    0.412
   133  -0.0910   0.1546   0.0008   0.0499   0.0328   0.3457   0.3226   0.0113   0.0060  -0.0520   0.1262    0.411
   134  -0.0961   0.1535   0.0008   0.0497   0.0328   0.3473   0.3240   0.0099   0.0060  -0.0519   0.1264    0.410
   135  -0.1014   0.1522   0.0008   0.0495   0.0327   0.3487   0.3254   0.0109   0.0060  -0.0518   0.1267    0.409
   136  -0.1067   0.1510   0.0008   0.0493   0.0326   0.3502   0.3268   0.0100   0.0059  -0.0517   0.1269    0.408
   137  -0.1121   0.1498   0.0008   0.0491   0.0326   0.3517   0.3281   0.0107   0.0059  -0.0516   0.1271    0.407
   138  -0.1176   0.1485   0.0008   0.0489   0.0325   0.3531   0.3294   0.0105   0.0059  -0.0515   0.1274    0.406
   139  -0.1232   0.1472   0.0008   0.0487   0.0324   0.3546   0.3308   0.0072   0.0059  -0.0515   0.1276    0.406
   140  -0.1288   0.1459   0.0008   0.0484   0.0324   0.3556   0.3318   0.0135   0.0059  -0.0514   0.1278    0.405
   141  -0.1345   0.1446   0.0008   0.0482   0.0323   0.3570   0.3331   0.0108   0.0059  -0.0513   0.1280    0.404
   142  -0.1402   0.1433   0.0008   0.0479   0.0322   0.3582   0.3342   0.0124   0.0059  -0.0512   0.1282    0.403
   143  -0.1460   0.1419   0.0008   0.0476   0.0322   0.3593   0.3353   0.0131   0.0058  -0.0512   0.1284    0.403
   144  -0.1519   0.1406   0.0008   0.0473   0.0321   0.3605   0.3363   0.0117   0.0058  -0.0511   0.1286    0.402
   145  -0.1577   0.1392   0.0008   0.0470   0.0321   0.3615   0.3373   0.0101   0.0058  -0.0510   0.1287    0.401
   146  -0.1637   0.1379   0.0008   0.0466   0.0320   0.3624   0.3381   0.0128   0.0058  -0.0509   0.1289    0.401
