#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.03150  0.00030  0.00683  0.59665  0.000093  0.000041  0.010237     2.269
   1.03248  0.00014  0.00586  0.54956  0.000090  0.000040  0.010101     2.229
   1.03346  0.00002  0.00489  0.50001  0.000092  0.000040  0.008536     2.279
   1.03442 -0.00006  0.00393  0.45310  0.000087  0.000039  0.008675     2.214
   1.03538 -0.00011  0.00298  0.39979  0.000090  0.000040  0.007161     2.247
   1.03633 -0.00011  0.00202  0.35413  0.000089  0.000039  0.006174     2.287
   1.03728 -0.00008  0.00107  0.30355  0.000082  0.000037  0.006225     2.195
   1.03823 -0.00001  0.00013  0.24503  0.000088  0.000039  0.004518     2.232
   1.03918  0.00010 -0.00082  0.19579  0.000087  0.000039  0.003563     2.257
   1.04014  0.00025 -0.00176  0.14207  0.000085  0.000039  0.002831     2.183
   1.04110  0.00043 -0.00270  0.09052  0.000095  0.000042  0.001502     2.261
   1.04207  0.00066 -0.00365  0.04302  0.000083  0.000037  0.000836     2.230
   1.04305  0.00093 -0.00459 -0.01472  0.000083  0.000037  0.000286     2.230
   1.04405  0.00124 -0.00554 -0.06504  0.000094  0.000042  0.001111     2.244
   1.04507  0.00159 -0.00650 -0.11506  0.000090  0.000041  0.002114     2.210
   1.04610  0.00198 -0.00745 -0.16639  0.000092  0.000041  0.002908     2.246
   1.04715  0.00242 -0.00840 -0.21474  0.000094  0.000042  0.003681     2.239
   1.04822  0.00290 -0.00936 -0.26363  0.000095  0.000042  0.004521     2.234
   1.04931  0.00343 -0.01032 -0.30842  0.000099  0.000044  0.004897     2.264
   1.05042  0.00400 -0.01127 -0.35597  0.000097  0.000044  0.006030     2.220
   1.05156  0.00462 -0.01222 -0.40145  0.000101  0.000045  0.006282     2.264
   1.05271  0.00529 -0.01316 -0.44333  0.000104  0.000046  0.006770     2.262
   1.05389  0.00601 -0.01410 -0.48359  0.000107  0.000047  0.007152     2.267
   1.05510  0.00677 -0.01503 -0.52352  0.000109  0.000048  0.007658     2.262
   1.05633  0.00759 -0.01596 -0.55686  0.000117  0.000051  0.007314     2.308
   1.05759  0.00845 -0.01687 -0.59270  0.000116  0.000051  0.008169     2.263
   1.05888  0.00936 -0.01778 -0.62678  0.000121  0.000053  0.008162     2.287
   1.06019  0.01032 -0.01868 -0.65491  0.000128  0.000055  0.007798     2.322
   1.06153  0.01132 -0.01957 -0.68275  0.000131  0.000057  0.008067     2.307
   1.06291  0.01237 -0.02046 -0.71049  0.000134  0.000058  0.008226     2.304
   1.06431  0.01347 -0.02134 -0.73501  0.000140  0.000060  0.007989     2.327
   1.06575  0.01461 -0.02221 -0.75851  0.000145  0.000062  0.008010     2.327
   1.06722  0.01580 -0.02307 -0.78301  0.000147  0.000064  0.008256     2.314
   1.06873  0.01705 -0.02393 -0.80353  0.000155  0.000066  0.007838     2.346
   1.07028  0.01834 -0.02478 -0.82426  0.000158  0.000068  0.007915     2.339
   1.07187  0.01969 -0.02562 -0.84315  0.000164  0.000070  0.007717     2.352
   1.07351  0.02110 -0.02646 -0.86144  0.000169  0.000072  0.007645     2.355
   1.07520  0.02257 -0.02730 -0.87730  0.000177  0.000074  0.007328     2.375
   1.07695  0.02411 -0.02813 -0.89214  0.000183  0.000077  0.007135     2.383
   1.07875  0.02571 -0.02896 -0.90638  0.000190  0.000079  0.006996     2.387
   1.08062  0.02738 -0.02979 -0.92002  0.000196  0.000082  0.006860     2.391
   1.08255  0.02912 -0.03062 -0.93247  0.000203  0.000085  0.006645     2.401
   1.08454  0.03094 -0.03145 -0.94573  0.000208  0.000087  0.006652     2.392
   1.08661  0.03283 -0.03228 -0.95666  0.000217  0.000090  0.006328     2.413
   1.08876  0.03481 -0.03310 -0.96873  0.000222  0.000092  0.006334     2.404
   1.09099  0.03688 -0.03393 -0.97919  0.000230  0.000095  0.006098     2.417
   1.09330  0.03904 -0.03475 -0.98881  0.000239  0.000098  0.005882     2.428
   1.09570  0.04130 -0.03558 -0.99765  0.000247  0.000101  0.005673     2.438
   1.09820  0.04366 -0.03640 -1.00563  0.000257  0.000105  0.005453     2.450
   1.10080  0.04613 -0.03722 -1.01414  0.000264  0.000108  0.005382     2.446
   1.10351  0.04871 -0.03804 -1.02105  0.000274  0.000111  0.005127     2.462
   1.10634  0.05141 -0.03886 -1.02847  0.000282  0.000115  0.005033     2.460
   1.10929  0.05425 -0.03968 -1.03519  0.000292  0.000118  0.004870     2.467
   1.11236  0.05721 -0.04050 -1.04179  0.000301  0.000122  0.004741     2.470
   1.11558  0.06032 -0.04132 -1.04737  0.000312  0.000126  0.004536     2.483
   1.11895  0.06359 -0.04213 -1.05331  0.000321  0.000129  0.004436     2.483
   1.12247  0.06702 -0.04294 -1.05780  0.000335  0.000134  0.004204     2.500
   1.12615  0.07061 -0.04375 -1.06262  0.000345  0.000138  0.004088     2.503
   1.13001  0.07439 -0.04456 -1.06694  0.000357  0.000142  0.003942     2.509
   1.13405  0.07834 -0.04535 -1.07090  0.000370  0.000147  0.003798     2.517
   1.13827  0.08249 -0.04614 -1.07484  0.000381  0.000151  0.003687     2.519
   1.14269  0.08684 -0.04692 -1.07808  0.000395  0.000156  0.003532     2.529
   1.14731  0.09139 -0.04769 -1.08091  0.000410  0.000161  0.003385     2.539
   1.15212  0.09615 -0.04844 -1.08420  0.000421  0.000166  0.003313     2.536
   1.15714  0.10111 -0.04917 -1.08576  0.000440  0.000172  0.003100     2.560
   1.16236  0.10629 -0.04988 -1.08803  0.000453  0.000177  0.003017     2.559
   1.16779  0.11167 -0.05057 -1.08991  0.000468  0.000182  0.002910     2.565
   1.17343  0.11727 -0.05124 -1.09108  0.000486  0.000188  0.002770     2.578
   1.17926  0.12307 -0.05187 -1.09210  0.000502  0.000194  0.002655     2.586
   1.18529  0.12907 -0.05247 -1.09316  0.000518  0.000200  0.002569     2.589
   1.19151  0.13526 -0.05305 -1.09342  0.000538  0.000206  0.002438     2.604
   1.19791  0.14164 -0.05358 -1.09379  0.000555  0.000213  0.002349     2.610
   1.20448  0.14819 -0.05408 -1.09397  0.000572  0.000219  0.002262     2.616
   1.21121  0.15490 -0.05455 -1.09389  0.000591  0.000225  0.002171     2.624
   1.21809  0.16177 -0.05497 -1.09345  0.000611  0.000232  0.002075     2.635
   1.22511  0.16878 -0.05536 -1.09301  0.000629  0.000238  0.001997     2.641
   1.23226  0.17592 -0.05570 -1.09222  0.000649  0.000245  0.001910     2.652
   1.23953  0.18318 -0.05600 -1.09149  0.000668  0.000251  0.001842     2.658
   1.24691  0.19056 -0.05627 -1.09037  0.000689  0.000258  0.001760     2.670
   1.25440  0.19804 -0.05649 -1.08922  0.000710  0.000265  0.001690     2.679
   1.26198  0.20562 -0.05668 -1.08805  0.000730  0.000272  0.001629     2.686
   1.26965  0.21329 -0.05683 -1.08659  0.000751  0.000279  0.001559     2.697
   1.27740  0.22104 -0.05694 -1.08512  0.000772  0.000285  0.001498     2.706
   1.28522  0.22886 -0.05701 -1.08363  0.000793  0.000292  0.001444     2.714
   1.29311  0.23676 -0.05705 -1.08217  0.000813  0.000299  0.001397     2.720
   1.30107  0.24471 -0.05706 -1.08032  0.000836  0.000306  0.001332     2.734
   1.30909  0.25273 -0.05703 -1.07866  0.000857  0.000313  0.001287     2.741
   1.31716  0.26080 -0.05697 -1.07684  0.000879  0.000319  0.001237     2.751
   1.32528  0.26892 -0.05688 -1.07508  0.000900  0.000326  0.001195     2.759
   1.33346  0.27710 -0.05676 -1.07320  0.000922  0.000333  0.001149     2.769
   1.34168  0.28531 -0.05662 -1.07144  0.000943  0.000340  0.001114     2.775
   1.34994  0.29357 -0.05645 -1.06946  0.000966  0.000347  0.001068     2.787
   1.35824  0.30188 -0.05625 -1.06768  0.000986  0.000353  0.001039     2.791
   1.36659  0.31022 -0.05603 -1.06566  0.001010  0.000360  0.000996     2.804
   1.37497  0.31860 -0.05578 -1.06397  0.001028  0.000367  0.000975     2.805
   1.38339  0.32701 -0.05552 -1.06196  0.001052  0.000373  0.000936     2.818
   1.39184  0.33546 -0.05523 -1.06020  0.001072  0.000380  0.000913     2.821
   1.40033  0.34394 -0.05493 -1.05841  0.001092  0.000386  0.000888     2.826
   1.40884  0.35244 -0.05460 -1.05684  0.001109  0.000392  0.000875     2.825
   1.41737  0.36097 -0.05427 -1.05517  0.001128  0.000399  0.000854     2.829
   1.42592  0.36951 -0.05391 -1.05374  0.001143  0.000405  0.000846     2.825
   1.43448  0.37807 -0.05354 -1.05228  0.001159  0.000411  0.000833     2.824
