#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.23953  0.18318 -0.05600 -1.06048  0.002025  0.000787  0.005931     2.573
   1.24691  0.19056 -0.05627 -1.05997  0.002085  0.000808  0.005707     2.581
   1.25440  0.19804 -0.05649 -1.05927  0.002147  0.000829  0.005483     2.590
   1.26198  0.20562 -0.05668 -1.05850  0.002207  0.000850  0.005285     2.597
   1.26965  0.21329 -0.05683 -1.05755  0.002270  0.000871  0.005081     2.606
   1.27740  0.22104 -0.05694 -1.05650  0.002333  0.000892  0.004891     2.615
   1.28522  0.22886 -0.05701 -1.05544  0.002395  0.000914  0.004724     2.621
   1.29311  0.23676 -0.05705 -1.05428  0.002457  0.000935  0.004559     2.629
   1.30107  0.24471 -0.05706 -1.05292  0.002524  0.000956  0.004379     2.639
   1.30909  0.25273 -0.05703 -1.05160  0.002587  0.000978  0.004230     2.647
   1.31716  0.26080 -0.05697 -1.05016  0.002653  0.000999  0.004076     2.655
   1.32528  0.26892 -0.05688 -1.04873  0.002717  0.001020  0.003940     2.663
   1.33346  0.27710 -0.05676 -1.04725  0.002781  0.001041  0.003809     2.670
   1.34168  0.28531 -0.05662 -1.04576  0.002845  0.001062  0.003688     2.677
   1.34994  0.29357 -0.05645 -1.04414  0.002913  0.001084  0.003554     2.687
   1.35824  0.30188 -0.05625 -1.04264  0.002974  0.001105  0.003451     2.692
   1.36659  0.31022 -0.05603 -1.04098  0.003043  0.001126  0.003329     2.702
   1.37497  0.31860 -0.05578 -1.03946  0.003103  0.001147  0.003242     2.706
   1.38339  0.32701 -0.05552 -1.03781  0.003171  0.001168  0.003134     2.715
   1.39184  0.33546 -0.05523 -1.03624  0.003233  0.001188  0.003048     2.721
   1.40033  0.34394 -0.05493 -1.03471  0.003294  0.001209  0.002970     2.725
   1.40884  0.35244 -0.05460 -1.03322  0.003353  0.001229  0.002901     2.729
   1.41737  0.36097 -0.05427 -1.03172  0.003412  0.001249  0.002831     2.733
   1.42592  0.36951 -0.05391 -1.03033  0.003467  0.001268  0.002778     2.734
   1.43448  0.37807 -0.05354 -1.02893  0.003523  0.001287  0.002722     2.737
   1.44306  0.38664 -0.05316 -1.02755  0.003579  0.001306  0.002667     2.739
   1.45164  0.39521 -0.05276 -1.02627  0.003630  0.001325  0.002626     2.740
   1.46022  0.40378 -0.05235 -1.02496  0.003683  0.001344  0.002577     2.742
   1.46880  0.41235 -0.05193 -1.02370  0.003736  0.001362  0.002534     2.743
   1.47738  0.42091 -0.05149 -1.02246  0.003787  0.001380  0.002491     2.744
   1.48595  0.42947 -0.05103 -1.02117  0.003843  0.001399  0.002440     2.748
   1.49452  0.43803 -0.05056 -1.01991  0.003898  0.001417  0.002393     2.751
   1.50308  0.44658 -0.05008 -1.01854  0.003961  0.001436  0.002330     2.759
   1.51165  0.45514 -0.04957 -1.01715  0.004024  0.001454  0.002266     2.767
   1.52024  0.46370 -0.04905 -1.01570  0.004092  0.001474  0.002197     2.777
   1.52883  0.47228 -0.04851 -1.01418  0.004164  0.001493  0.002123     2.788
   1.53744  0.48088 -0.04796 -1.01265  0.004237  0.001513  0.002050     2.801
   1.54607  0.48949 -0.04739 -1.01106  0.004314  0.001533  0.001974     2.814
   1.55472  0.49811 -0.04681 -1.00945  0.004392  0.001553  0.001900     2.828
   1.56338  0.50676 -0.04621 -1.00780  0.004473  0.001573  0.001824     2.843
   1.57206  0.51541 -0.04561 -1.00615  0.004554  0.001594  0.001752     2.858
   1.58075  0.52408 -0.04499 -1.00447  0.004638  0.001614  0.001680     2.874
   1.58945  0.53275 -0.04436 -1.00279  0.004723  0.001634  0.001610     2.890
   1.59815  0.54144 -0.04371 -1.00107  0.004810  0.001655  0.001540     2.907
   1.60687  0.55013 -0.04306 -0.99934  0.004900  0.001676  0.001470     2.924
   1.61559  0.55882 -0.04240 -0.99759  0.004994  0.001697  0.001400     2.943
   1.62432  0.56753 -0.04173 -0.99584  0.005088  0.001717  0.001333     2.962
   1.63306  0.57624 -0.04105 -0.99407  0.005185  0.001738  0.001265     2.983
   1.64181  0.58496 -0.04036 -0.99227  0.005288  0.001760  0.001195     3.005
   1.65057  0.59370 -0.03966 -0.99049  0.005390  0.001781  0.001130     3.027
   1.65934  0.60244 -0.03895 -0.98867  0.005500  0.001802  0.001061     3.052
   1.66812  0.61119 -0.03823 -0.98687  0.005610  0.001824  0.000995     3.076
   1.67691  0.61995 -0.03751 -0.98505  0.005726  0.001845  0.000929     3.103
   1.68571  0.62872 -0.03678 -0.98322  0.005847  0.001867  0.000862     3.132
   1.69452  0.63750 -0.03604 -0.98142  0.005968  0.001889  0.000800     3.160
   1.70334  0.64628 -0.03530 -0.97961  0.006096  0.001910  0.000736     3.191
   1.71216  0.65508 -0.03455 -0.97781  0.006228  0.001932  0.000673     3.224
   1.72099  0.66387 -0.03379 -0.97602  0.006365  0.001953  0.000611     3.258
   1.72981  0.67266 -0.03304 -0.97424  0.006507  0.001975  0.000550     3.295
   1.73864  0.68145 -0.03227 -0.97248  0.006655  0.001996  0.000490     3.333
   1.74746  0.69025 -0.03150 -0.97075  0.006809  0.002018  0.000431     3.374
   1.75629  0.69904 -0.03073 -0.96902  0.006972  0.002039  0.000372     3.419
   1.76512  0.70783 -0.02995 -0.96733  0.007144  0.002060  0.000313     3.467
   1.77395  0.71663 -0.02916 -0.96566  0.007326  0.002081  0.000255     3.520
   1.78279  0.72543 -0.02837 -0.96402  0.007515  0.002102  0.000199     3.575
   1.79163  0.73424 -0.02757 -0.96242  0.007714  0.002123  0.000144     3.635
   1.80048  0.74305 -0.02677 -0.96087  0.007923  0.002143  0.000092     3.698
   1.80933  0.75187 -0.02597 -0.95937  0.008140  0.002162  0.000043     3.764
   1.81819  0.76069 -0.02516 -0.95791  0.008369  0.002182 -0.000003     3.836
   1.82704  0.76950 -0.02435 -0.95650  0.008606  0.002200 -0.000046     3.911
   1.83589  0.77831 -0.02353 -0.95514  0.008855  0.002219 -0.000086     3.991
   1.84473  0.78711 -0.02272 -0.95383  0.009113  0.002237 -0.000121     4.074
   1.85356  0.79591 -0.02189 -0.95257  0.009386  0.002254 -0.000154     4.164
   1.86239  0.80470 -0.02107 -0.95135  0.009667  0.002271 -0.000182     4.256
   1.87122  0.81349 -0.02024 -0.95017  0.009963  0.002288 -0.000206     4.354
   1.88004  0.82227 -0.01940 -0.94903  0.010270  0.002305 -0.000226     4.456
   1.88885  0.83103 -0.01857 -0.94795  0.010590  0.002321 -0.000242     4.563
   1.89764  0.83979 -0.01773 -0.94692  0.010921  0.002336 -0.000254     4.674
   1.90642  0.84853 -0.01689 -0.94594  0.011264  0.002351 -0.000264     4.790
   1.91518  0.85725 -0.01605 -0.94502  0.011620  0.002366 -0.000270     4.912
   1.92391  0.86593 -0.01520 -0.94416  0.011982  0.002380 -0.000273     5.035
   1.93259  0.87458 -0.01436 -0.94334  0.012360  0.002393 -0.000274     5.165
   1.94123  0.88318 -0.01352 -0.94258  0.012744  0.002406 -0.000274     5.298
   1.94980  0.89171 -0.01268 -0.94188  0.013138  0.002418 -0.000273     5.434
   1.95829  0.90015 -0.01185 -0.94122  0.013542  0.002429 -0.000271     5.575
   1.96669  0.90851 -0.01101 -0.94061  0.013955  0.002440 -0.000268     5.720
   1.97497  0.91675 -0.01019 -0.94005  0.014373  0.002450 -0.000264     5.867
