#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.14269  0.08684 -0.04692 -1.04192  0.001224  0.000488  0.011206     2.508
   1.14731  0.09139 -0.04769 -1.04560  0.001268  0.000504  0.010774     2.517
   1.15212  0.09615 -0.04844 -1.04924  0.001309  0.000519  0.010443     2.520
   1.15714  0.10111 -0.04917 -1.05210  0.001358  0.000536  0.009971     2.532
   1.16236  0.10629 -0.04988 -1.05481  0.001404  0.000553  0.009603     2.539
   1.16779  0.11167 -0.05057 -1.05728  0.001451  0.000570  0.009256     2.545
   1.17343  0.11727 -0.05124 -1.05927  0.001503  0.000588  0.008870     2.554
   1.17926  0.12307 -0.05187 -1.06100  0.001555  0.000607  0.008521     2.562
   1.18529  0.12907 -0.05247 -1.06244  0.001607  0.000626  0.008188     2.569
   1.19151  0.13526 -0.05305 -1.06354  0.001662  0.000645  0.007851     2.578
   1.19791  0.14164 -0.05358 -1.06441  0.001718  0.000664  0.007539     2.586
   1.20448  0.14819 -0.05408 -1.06507  0.001774  0.000684  0.007252     2.593
   1.21121  0.15490 -0.05455 -1.06554  0.001830  0.000704  0.006979     2.600
   1.21809  0.16177 -0.05497 -1.06563  0.001891  0.000724  0.006680     2.610
   1.22511  0.16878 -0.05536 -1.06560  0.001950  0.000745  0.006424     2.618
   1.23226  0.17592 -0.05570 -1.06535  0.002011  0.000766  0.006168     2.627
   1.23953  0.18318 -0.05600 -1.06496  0.002072  0.000786  0.005932     2.635
   1.24691  0.19056 -0.05627 -1.06439  0.002134  0.000807  0.005702     2.643
   1.25440  0.19804 -0.05649 -1.06362  0.002198  0.000829  0.005472     2.653
   1.26198  0.20562 -0.05668 -1.06277  0.002261  0.000850  0.005267     2.660
   1.26965  0.21329 -0.05683 -1.06175  0.002326  0.000871  0.005059     2.670
   1.27740  0.22104 -0.05694 -1.06062  0.002391  0.000893  0.004864     2.679
   1.28522  0.22886 -0.05701 -1.05947  0.002455  0.000914  0.004692     2.686
   1.29311  0.23676 -0.05705 -1.05821  0.002520  0.000935  0.004523     2.694
   1.30107  0.24471 -0.05706 -1.05677  0.002589  0.000957  0.004339     2.705
